,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
57,150000,0.0,HOUSE,West Flanders,Brugge,8000,,78.0,0.0,2.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,,973.0,1
58,349000,0.0,HOUSE,West Flanders,Brugge,8000,,,0.0,4.0,3.0,MISSING,0,0,1,,0,0.0,0,4.0,110.0,1
59,280000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,69.0,,3.0,1.0,INSTALLED,0,0,1,9.0,0,0.0,0,5.0,,1
60,392000,1.0,APARTMENT,West Flanders,Brugge,8000,,84.0,,2.0,2.0,MISSING,0,0,1,23.0,0,0.0,0,4.0,54.0,1
61,335000,0.0,HOUSE,West Flanders,Brugge,8000,,,275.0,2.0,4.0,MISSING,0,0,1,,0,0.0,0,4.0,314.0,1
62,975000,1.0,APARTMENT,West Flanders,Brugge,8000,2012.0,132.0,,,2.0,MISSING,0,0,1,17.0,0,0.0,0,4.0,61.0,1
63,249000,0.0,HOUSE,West Flanders,Brugge,8000,,,173.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,,0
64,895000,0.0,HOUSE,West Flanders,Brugge,8000,,245.0,135.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,309.0,0
66,440000,0.0,APARTMENT_BLOCK,West Flanders,Brugge,8000,1970.0,172.0,60.0,4.0,3.0,SEMI_EQUIPPED,0,0,1,,0,0.0,0,2.0,543.0,0
67,289000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,72.0,,3.0,1.0,INSTALLED,0,0,1,8.0,0,0.0,0,5.0,,1
68,355000,0.0,HOUSE,West Flanders,Brugge,8000,,,114.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,577.0,1
69,399500,1.0,APARTMENT,West Flanders,Brugge,8000,,85.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,,1
70,345000,0.0,HOUSE,West Flanders,Brugge,8000,,238.0,176.0,2.0,3.0,MISSING,0,0,1,,0,0.0,0,4.0,188.0,1
