,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
708,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238768,11238768,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,270000,APARTMENT,APARTMENT,1.0,76.0,,0,0,11.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
710,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196792,11196792,Gent,Belgium,2026.0,,East Flanders,9000,399000,APARTMENT,APARTMENT,2.0,,INSTALLED,0,0,20.0,1,0,0,0,,0,GOOD,A,31.0,,1,0,51.0645911,3.7132568,,
711,https://www.immoweb.be/en/classified/flat-studio/for-sale/hasselt/3500/11092332,11092332,Hasselt,Belgium,1976.0,2.0,Limburg,3500,99000,APARTMENT,FLAT_STUDIO,0.0,25.0,,0,0,0.0,0,0,0,0,,0,,F,1169.0,ELECTRIC,1,317,50.9284488,5.3465261,,
712,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225326,11225326,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,294900,APARTMENT,APARTMENT,2.0,94.0,,0,0,7.0,1,0,0,1,,0,,,,GAS,1,0,,,,
713,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287267,11287267,Brussels,Belgium,,4.0,Brussels,1000,353000,APARTMENT,APARTMENT,2.0,92.0,HYPER_EQUIPPED,0,0,7.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
714,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216981,11216981,Namur,Belgium,,,Namur,5000,391319,APARTMENT,APARTMENT,2.0,109.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
715,https://www.immoweb.be/en/classified/loft/for-sale/li%C3%A8ge/4000/11109267,11109267,Liège,Belgium,2022.0,,Liège,4000,365000,APARTMENT,LOFT,3.0,128.0,,0,0,12.0,1,0,0,1,,0,AS_NEW,A,57.0,,0,0,50.641615,5.5899945,,
716,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238769,11238769,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,273000,APARTMENT,APARTMENT,1.0,82.0,,0,0,11.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
717,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/9400583,9400583,Antwerp,Belgium,2021.0,,Antwerp,2000,485000,APARTMENT,APARTMENT,2.0,89.0,USA_HYPER_EQUIPPED,0,0,7.0,1,0,0,0,,0,AS_NEW,,,GAS,1,0,,,,
718,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196793,11196793,Gent,Belgium,2026.0,,East Flanders,9000,469500,APARTMENT,APARTMENT,3.0,,INSTALLED,0,0,21.0,1,0,0,0,,0,GOOD,A,33.0,,1,0,51.0645911,3.7132568,,
719,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11206341,11206341,Hasselt,Belgium,1998.0,2.0,Limburg,3500,187000,APARTMENT,APARTMENT,1.0,57.0,,0,0,0.0,0,0,0,1,,0,,B,168.0,GAS,1,706,50.9054879,5.3574204,,
