,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
282,https://www.immoweb.be/en/classified/penthouse/for-sale/hasselt/3500/11302294,11302294,Hasselt,Belgium,2023.0,2.0,Limburg,3500,326855,APARTMENT,PENTHOUSE,2.0,104.0,INSTALLED,0,0,19.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,,
283,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217041,11217041,Namur,Belgium,,,Namur,5000,245879,APARTMENT,APARTMENT,1.0,65.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
284,https://www.immoweb.be/en/classified/house/for-sale/charleroi/6000/11077989,11077989,Charleroi,Belgium,,2.0,Hainaut,6000,169000,HOUSE,HOUSE,4.0,176.0,INSTALLED,0,0,,1,0,0,1,130.0,0,TO_BE_DONE_UP,C,213.0,GAS,1,981,50.4069373,4.4498348,,
285,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016378,11016378,Bastogne,Belgium,,,Luxembourg,6600,245000,APARTMENT,APARTMENT,1.0,78.0,,0,0,4.0,1,0,0,1,,0,AS_NEW,A,64.0,,0,0,,,,
286,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/10886931,10886931,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,669500,APARTMENT,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,AS_NEW,,,GAS,0,0,51.2266199,4.4009373,,
287,https://www.immoweb.be/en/classified/penthouse/for-sale/brugge/8000/11099801,11099801,Brugge,Belgium,2024.0,3.0,West Flanders,8000,699000,APARTMENT,PENTHOUSE,3.0,127.0,INSTALLED,0,0,66.0,1,0,0,0,,0,AS_NEW,,,,1,0,51.2232578,3.2370722,,
288,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11289410,11289410,Gent,Belgium,2023.0,,East Flanders,9000,390000,APARTMENT,APARTMENT,3.0,96.0,HYPER_EQUIPPED,0,0,26.0,1,0,0,0,,0,GOOD,A,25.0,,1,0,51.0274241,3.696983,,
289,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11291461,11291461,Brussels,Belgium,,3.0,Brussels,1000,260000,APARTMENT,FLAT_STUDIO,0.0,40.0,,0,0,3.0,1,0,0,1,,0,,,,,0,0,50.8435304,4.3458291,,
290,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302314,11302314,Hasselt,Belgium,2023.0,2.0,Limburg,3500,328840,APARTMENT,APARTMENT,2.0,102.0,INSTALLED,0,0,28.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
291,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016348,11016348,Bastogne,Belgium,,,Luxembourg,6600,254000,APARTMENT,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,57.0,,0,0,,,,
292,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217016,11217016,Namur,Belgium,,,Namur,5000,250930,APARTMENT,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
293,https://www.immoweb.be/en/classified/apartment-block/for-sale/charleroi/6000/11263571,11263571,Charleroi,Belgium,,2.0,Hainaut,6000,500000,HOUSE,APARTMENT_BLOCK,5.0,316.0,INSTALLED,0,0,0.0,0,0,0,1,0.0,0,,G,777.0,FUELOIL,1,4962,50.4071318,4.4430593,,
295,https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen/2000/10886934,10886934,Antwerp,Belgium,2024.0,4.0,Antwerp,2000,1455000,APARTMENT,PENTHOUSE,3.0,192.0,HYPER_EQUIPPED,0,0,22.0,1,0,0,0,,0,AS_NEW,,,,0,0,51.2266199,4.4009373,,
297,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302299,11302299,Hasselt,Belgium,2023.0,2.0,Limburg,3500,352880,APARTMENT,APARTMENT,1.0,89.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
298,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11291462,11291462,Brussels,Belgium,,3.0,Brussels,1000,340000,APARTMENT,APARTMENT,1.0,63.0,,0,0,4.0,1,0,0,1,,0,,,,,0,0,50.8435304,4.3458291,,
299,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216918,11216918,Namur,Belgium,,,Namur,5000,264836,APARTMENT,APARTMENT,1.0,66.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
300,https://www.immoweb.be/en/classified/apartment-block/for-sale/charleroi/6000/11153599,11153599,Charleroi,Belgium,,3.0,Hainaut,6000,555000,HOUSE,APARTMENT_BLOCK,0.0,199.0,,0,0,0.0,0,0,0,1,91.0,0,GOOD,,,ELECTRIC,1,0,50.4137886,4.4486226,,
301,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016351,11016351,Bastogne,Belgium,,,Luxembourg,6600,259000,APARTMENT,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,72.0,,0,0,,,,
302,https://www.immoweb.be/en/classified/flat-studio/for-sale/li%C3%A8ge/4000/10541524,10541524,Liège,Belgium,,,Liège,4000,180270,APARTMENT,FLAT_STUDIO,0.0,44.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,GAS,0,0,,,,
305,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302304,11302304,Hasselt,Belgium,2023.0,2.0,Limburg,3500,353080,APARTMENT,APARTMENT,1.0,79.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
306,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/10420216,10420216,Charleroi,Belgium,,2.0,Hainaut,6000,140000,APARTMENT,APARTMENT,2.0,,INSTALLED,0,0,,1,0,0,1,,0,GOOD,C,189.0,GAS,1,0,50.4158762,4.4455796,,
307,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016364,11016364,Bastogne,Belgium,,,Luxembourg,6600,259000,APARTMENT,APARTMENT,1.0,73.0,,0,0,12.0,1,0,0,1,,0,AS_NEW,A,46.0,,0,0,,,,
308,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216948,11216948,Namur,Belgium,,,Namur,5000,289045,APARTMENT,APARTMENT,1.0,75.0,,0,0,17.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
310,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541523,10541523,Liège,Belgium,,,Liège,4000,218755,APARTMENT,APARTMENT,1.0,59.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,GAS,0,0,,,,
312,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11289444,11289444,Gent,Belgium,2023.0,,East Flanders,9000,370000,APARTMENT,APARTMENT,2.0,93.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9969529,3.7070249,,
313,https://www.immoweb.be/en/classified/business/for-sale/brugge/8000/11169002,11169002,Brugge,Belgium,2024.0,2.0,West Flanders,8000,275000,COMMERCIAL,BUSINESS,,116.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,158.0,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
315,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302269,11302269,Hasselt,Belgium,2023.0,2.0,Limburg,3500,358834,APARTMENT,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
316,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016374,11016374,Bastogne,Belgium,,,Luxembourg,6600,264000,APARTMENT,APARTMENT,1.0,73.0,,0,0,12.0,1,0,0,1,,0,AS_NEW,A,61.0,,0,0,,,,
317,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/10877719,10877719,Charleroi,Belgium,,2.0,Hainaut,6000,89000,APARTMENT,APARTMENT,2.0,,INSTALLED,0,0,0.0,0,0,0,1,,0,TO_BE_DONE_UP,C,231.0,,0,919,50.4143533,4.4504483,,
318,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217002,11217002,Namur,Belgium,,,Namur,5000,292575,APARTMENT,APARTMENT,2.0,85.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
319,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773262,10773262,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,315000,APARTMENT,APARTMENT,1.0,81.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,,
320,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541536,10541536,Liège,Belgium,,,Liège,4000,221595,APARTMENT,APARTMENT,1.0,59.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,GAS,0,0,,,,
321,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11289431,11289431,Gent,Belgium,2023.0,,East Flanders,9000,685000,APARTMENT,APARTMENT,3.0,138.0,INSTALLED,0,0,147.0,1,0,0,0,,0,,,,,1,0,50.9969529,3.7070249,,
322,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302292,11302292,Hasselt,Belgium,2023.0,2.0,Limburg,3500,370748,APARTMENT,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,,
323,https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerpen/2000/11021067,11021067,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,335000,APARTMENT,FLAT_STUDIO,1.0,66.0,HYPER_EQUIPPED,0,0,9.0,1,13,1,0,,0,,,,,1,0,51.2207529,4.4102467,,
324,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216989,11216989,Namur,Belgium,,,Namur,5000,293975,APARTMENT,APARTMENT,2.0,85.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
325,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291454,11291454,Brussels,Belgium,,3.0,Brussels,1000,485000,HOUSE,HOUSE,2.0,101.0,,0,0,9.0,1,0,0,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
326,https://www.immoweb.be/en/classified/business/for-sale/brugge/8000/11169003,11169003,Brugge,Belgium,2024.0,2.0,West Flanders,8000,305000,COMMERCIAL,BUSINESS,,108.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,120.0,0,,A,10.0,GAS,0,0,51.2207473,3.2162353,,
327,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016356,11016356,Bastogne,Belgium,,,Luxembourg,6600,274000,APARTMENT,APARTMENT,1.0,73.0,,0,0,24.0,1,0,0,1,,0,AS_NEW,A,70.0,,0,0,,,,
328,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/11263569,11263569,Charleroi,Belgium,,2.0,Hainaut,6000,140000,APARTMENT,APARTMENT,2.0,90.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,D,332.0,,1,0,50.4071318,4.4430593,,
329,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541529,10541529,Liège,Belgium,,,Liège,4000,251083,APARTMENT,APARTMENT,1.0,70.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,GAS,0,0,,,,
330,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773254,10773254,Nivelles,Belgium,,,Walloon Brabant,1300,315000,APARTMENT,APARTMENT,2.0,98.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,,
331,https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerpen/2000/11021071,11021071,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,335000,APARTMENT,FLAT_STUDIO,1.0,63.0,HYPER_EQUIPPED,0,0,9.0,1,15,1,0,,0,,,,,1,0,51.2207529,4.4102467,,
332,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302312,11302312,Hasselt,Belgium,2023.0,2.0,Limburg,3500,372401,APARTMENT,APARTMENT,1.0,79.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
333,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/11294223,11294223,Gent,Belgium,2006.0,2.0,East Flanders,9000,410000,APARTMENT,DUPLEX,2.0,150.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,0,,0,GOOD,B,143.0,GAS,1,1269,51.0559757,3.7302065,,
334,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216963,11216963,Namur,Belgium,,,Namur,5000,302575,APARTMENT,APARTMENT,2.0,89.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
335,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291453,11291453,Brussels,Belgium,,3.0,Brussels,1000,582500,HOUSE,HOUSE,3.0,133.0,,0,0,12.0,1,0,0,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
336,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11304135,11304135,Gent,Belgium,1955.0,3.0,East Flanders,9000,295000,HOUSE,HOUSE,3.0,128.0,,0,0,,1,0,0,0,327.0,0,TO_BE_DONE_UP,E,406.0,,1,582,,,,
337,https://www.immoweb.be/en/classified/business/for-sale/brugge/8000/11169004,11169004,Brugge,Belgium,2024.0,3.0,West Flanders,8000,365000,COMMERCIAL,BUSINESS,,136.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,145.0,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
338,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541535,10541535,Liège,Belgium,,,Liège,4000,251250,APARTMENT,APARTMENT,1.0,70.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,GAS,0,0,,,,
339,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016355,11016355,Bastogne,Belgium,,,Luxembourg,6600,274000,APARTMENT,APARTMENT,2.0,92.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,A,55.0,,0,0,,,,
340,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773256,10773256,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,315000,APARTMENT,APARTMENT,2.0,89.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,,
341,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11302284,11302284,Gent,Belgium,1955.0,2.0,East Flanders,9000,575000,HOUSE,HOUSE,4.0,203.0,INSTALLED,0,0,0.0,0,25,1,0,114.0,0,JUST_RENOVATED,B,134.0,GAS,1,676,51.0713419,3.6935327,,
342,https://www.immoweb.be/en/classified/ground-floor/for-sale/antwerpen/2000/11021076,11021076,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,365000,APARTMENT,GROUND_FLOOR,1.0,74.0,HYPER_EQUIPPED,0,0,8.0,1,22,1,0,,0,,,,,1,0,51.2207529,4.4102467,,
343,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302320,11302320,Hasselt,Belgium,2023.0,2.0,Limburg,3500,377084,APARTMENT,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,,
344,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216994,11216994,Namur,Belgium,,,Namur,5000,304875,APARTMENT,APARTMENT,2.0,85.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
345,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291452,11291452,Brussels,Belgium,,3.0,Brussels,1000,615000,HOUSE,HOUSE,3.0,138.0,,0,0,12.0,1,0,0,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
346,https://www.immoweb.be/en/classified/house/for-sale/forges/6464/11304134,11304134,Thuin,Belgium,,4.0,Hainaut,6464,59000,HOUSE,HOUSE,2.0,42.0,,1,0,17.0,1,194,1,0,194.0,0,JUST_RENOVATED,,,GAS,1,89,,,,
347,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016363,11016363,Bastogne,Belgium,,,Luxembourg,6600,279000,APARTMENT,APARTMENT,2.0,92.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,A,56.0,,0,0,,,,
348,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11169008,11169008,Brugge,Belgium,2024.0,2.0,West Flanders,8000,445000,APARTMENT,APARTMENT,3.0,118.0,USA_HYPER_EQUIPPED,0,0,13.0,1,0,0,0,,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
349,https://www.immoweb.be/en/classified/ground-floor/for-sale/wavre/1300/10773247,10773247,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,330000,APARTMENT,GROUND_FLOOR,2.0,95.0,USA_INSTALLED,0,0,,1,0,0,1,,0,,,,GAS,1,0,,,,
350,https://www.immoweb.be/en/classified/ground-floor/for-sale/antwerpen/2000/11021057,11021057,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,369000,APARTMENT,GROUND_FLOOR,1.0,85.0,HYPER_EQUIPPED,0,0,0.0,0,0,0,0,,0,,,,,1,0,51.2207529,4.4102467,,
351,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302315,11302315,Hasselt,Belgium,2023.0,2.0,Limburg,3500,379748,APARTMENT,APARTMENT,3.0,110.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
352,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541522,10541522,Liège,Belgium,,,Liège,4000,251535,APARTMENT,APARTMENT,1.0,70.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,GAS,0,0,,,,
353,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216966,11216966,Namur,Belgium,,,Namur,5000,310575,APARTMENT,APARTMENT,2.0,89.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
354,https://www.immoweb.be/en/classified/country-cottage/for-sale/hasti%C3%A8re/5540/11304129,11304129,Dinant,Belgium,,,Namur,5540,89000,HOUSE,COUNTRY_COTTAGE,2.0,45.0,,0,0,0.0,0,250,1,0,250.0,0,GOOD,,,GAS,0,317,50.2142513,4.7735425,,
355,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291456,11291456,Brussels,Belgium,,3.0,Brussels,1000,655000,HOUSE,HOUSE,3.0,131.0,,0,0,18.0,1,37,1,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
356,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016372,11016372,Bastogne,Belgium,,,Luxembourg,6600,284000,APARTMENT,APARTMENT,2.0,92.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,A,56.0,,0,0,,,,
357,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11169006,11169006,Brugge,Belgium,2024.0,2.0,West Flanders,8000,455000,APARTMENT,APARTMENT,3.0,138.0,USA_HYPER_EQUIPPED,0,0,20.0,1,0,0,0,,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
358,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773261,10773261,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,330000,APARTMENT,APARTMENT,2.0,95.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,GAS,1,0,,,,
359,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11021068,11021068,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,379000,APARTMENT,APARTMENT,1.0,74.0,HYPER_EQUIPPED,0,0,5.0,1,0,0,0,,0,,,,,1,0,51.2207529,4.4102467,,
360,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302302,11302302,Hasselt,Belgium,2023.0,2.0,Limburg,3500,381488,APARTMENT,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,,
361,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541519,10541519,Liège,Belgium,,,Liège,4000,258252,APARTMENT,APARTMENT,1.0,72.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,GAS,0,0,,,,
363,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/11304128,11304128,Gent,Belgium,2024.0,3.0,East Flanders,9032,435000,HOUSE,HOUSE,3.0,,INSTALLED,0,0,,1,0,0,1,179.0,0,,A,,GAS,1,275,51.0797373,3.7125395,,
364,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216961,11216961,Namur,Belgium,,,Namur,5000,318488,APARTMENT,APARTMENT,2.0,92.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
365,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291457,11291457,Brussels,Belgium,,3.0,Brussels,1000,655000,HOUSE,HOUSE,3.0,131.0,,0,0,18.0,1,37,1,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
366,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016354,11016354,Bastogne,Belgium,,,Luxembourg,6600,289000,APARTMENT,APARTMENT,2.0,98.0,,0,0,9.0,1,0,0,1,,0,AS_NEW,A,65.0,,0,0,,,,
367,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11169010,11169010,Brugge,Belgium,2024.0,3.0,West Flanders,8000,635000,APARTMENT,APARTMENT,3.0,136.0,USA_HYPER_EQUIPPED,0,0,20.0,1,0,0,0,,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
368,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11021072,11021072,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,385000,APARTMENT,APARTMENT,1.0,72.0,HYPER_EQUIPPED,0,0,5.0,1,0,0,0,,0,,,,,1,0,51.2207529,4.4102467,,
369,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302331,11302331,Hasselt,Belgium,2023.0,2.0,Limburg,3500,383963,APARTMENT,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
370,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773250,10773250,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,345000,APARTMENT,APARTMENT,2.0,90.0,,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,,
371,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10541526,10541526,Liège,Belgium,,,Liège,4000,287678,APARTMENT,APARTMENT,1.0,81.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,GAS,0,0,,,,
372,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11281887,11281887,Gent,Belgium,2025.0,4.0,East Flanders,9000,295000,APARTMENT,APARTMENT,1.0,68.0,USA_HYPER_EQUIPPED,0,0,10.0,1,0,0,0,,0,AS_NEW,,,,1,0,51.0274241,3.696983,,
373,https://www.immoweb.be/en/classified/town-house/for-sale/dinant/5500/11304127,11304127,Dinant,Belgium,,,Namur,5500,149000,HOUSE,TOWN_HOUSE,3.0,150.0,,0,0,20.0,1,78,1,1,78.0,0,GOOD,D,311.0,GAS,1,567,50.2629923,4.9114707,,
374,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016360,11016360,Bastogne,Belgium,,,Luxembourg,6600,294000,APARTMENT,APARTMENT,2.0,88.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,A,61.0,,0,0,,,,
375,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11169009,11169009,Brugge,Belgium,2024.0,3.0,West Flanders,8000,685000,APARTMENT,APARTMENT,2.0,159.0,USA_HYPER_EQUIPPED,0,0,29.0,1,0,0,0,,0,,A,10.0,GAS,1,0,51.2207473,3.2162353,,
376,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217051,11217051,Namur,Belgium,,,Namur,5000,319236,APARTMENT,APARTMENT,2.0,88.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
377,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11291455,11291455,Brussels,Belgium,,3.0,Brussels,1000,705000,HOUSE,HOUSE,4.0,152.0,,0,0,11.0,1,0,0,1,0.0,0,,,,,0,0,50.8435304,4.3458291,,
378,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11021069,11021069,Antwerp,Belgium,2024.0,2.0,Antwerp,2000,385000,APARTMENT,APARTMENT,1.0,74.0,HYPER_EQUIPPED,0,0,5.0,1,0,0,0,,0,,,,,1,0,51.2207529,4.4102467,,
379,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10773258,10773258,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,345000,APARTMENT,APARTMENT,2.0,100.0,USA_INSTALLED,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,,
380,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302328,11302328,Hasselt,Belgium,2023.0,2.0,Limburg,3500,394171,APARTMENT,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
381,https://www.immoweb.be/en/classified/penthouse/for-sale/li%C3%A8ge/4000/10541540,10541540,Liège,Belgium,,,Liège,4000,305982,APARTMENT,PENTHOUSE,2.0,88.0,INSTALLED,0,0,53.0,1,0,0,0,,0,,,,GAS,0,0,,,,
382,https://www.immoweb.be/en/classified/villa/for-sale/anh%C3%A9e/5537/11304126,11304126,Dinant,Belgium,,4.0,Namur,5537,340000,HOUSE,VILLA,5.0,180.0,,0,1,35.0,1,1285,1,0,1285.0,0,GOOD,E,388.0,FUELOIL,1,1068,50.3014524,4.8932711,,
383,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11281889,11281889,Gent,Belgium,2025.0,4.0,East Flanders,9051,310000,APARTMENT,APARTMENT,2.0,81.0,USA_HYPER_EQUIPPED,0,0,10.0,1,0,0,0,,0,AS_NEW,,,,1,0,51.0274241,3.696983,,
384,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216968,11216968,Namur,Belgium,,,Namur,5000,319375,APARTMENT,APARTMENT,2.0,89.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
385,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11016362,11016362,Bastogne,Belgium,,,Luxembourg,6600,294000,APARTMENT,APARTMENT,2.0,98.0,,0,0,9.0,1,0,0,1,,0,AS_NEW,A,61.0,,0,0,,,,
386,https://www.immoweb.be/en/classified/ground-floor/for-sale/wavre/1300/10773251,10773251,Nivelles,Belgium,2024.0,,Walloon Brabant,1300,355000,APARTMENT,GROUND_FLOOR,2.0,90.0,USA_INSTALLED,0,0,16.0,1,0,0,1,,0,,,,GAS,1,0,,,,
387,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302300,11302300,Hasselt,Belgium,2023.0,2.0,Limburg,3500,410981,APARTMENT,APARTMENT,3.0,110.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,,
