,locality,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,region,price_square
36,Charleroi,,,Hainaut,6000,119900,1.0,APARTMENT,2.0,75.0,NOT_INSTALLED,0,0,0.0,0,0,0,1,,0,4.0,5.0,177.0,GAS,1,1155,50.4087492,4.438354,Wallonia,1598.6666666666667
37,Hasselt,2023.0,2.0,Limburg,3500,159135,1.0,APARTMENT,1.0,45.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3536.3333333333335
38,Bastogne,1965.0,3.0,Luxembourg,6600,320000,0.0,HOUSE,4.0,229.0,NOT_INSTALLED,0,0,,1,0,0,1,820.0,0,4.0,3.0,391.0,FUELOIL,1,1353,50.0043995,5.7249338,Wallonia,1397.3799126637555
39,Antwerp,,,Antwerp,2000,132800,,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4024.242424242424
40,Brugge,2024.0,3.0,West Flanders,8000,270000,1.0,APARTMENT,1.0,69.0,INSTALLED,0,0,9.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3913.0434782608695
41,Nivelles,,,Walloon Brabant,1300,445000,1.0,APARTMENT,2.0,92.0,INSTALLED,0,0,15.0,1,0,0,1,,0,,9.0,,GAS,1,0,50.7111059,4.5911782,Wallonia,4836.95652173913
42,Charleroi,,2.0,Hainaut,6000,85000,1.0,APARTMENT,2.0,68.0,SEMI_EQUIPPED,0,0,4.0,1,0,0,1,,0,4.0,5.0,198.0,GAS,1,855,50.4145211,4.4552515,Wallonia,1250.0
43,Hasselt,2023.0,2.0,Limburg,3500,163579,1.0,APARTMENT,1.0,51.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3207.4313725490197
44,Bastogne,,3.0,Luxembourg,6600,377000,0.0,HOUSE,3.0,156.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,1,1002.0,0,,6.0,107.0,GAS,1,0,49.984871,5.7232941,Wallonia,2416.6666666666665
45,Antwerp,,,Antwerp,2000,132800,,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4024.242424242424
46,Brugge,2024.0,3.0,West Flanders,8000,280000,1.0,APARTMENT,1.0,69.0,INSTALLED,0,0,9.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,4057.9710144927535
47,Nivelles,2023.0,3.0,Walloon Brabant,1300,535000,1.0,APARTMENT,3.0,120.0,INSTALLED,0,0,19.0,1,0,0,1,,0,,9.0,,GAS,1,0,,,Wallonia,4458.333333333333
48,Hasselt,2023.0,2.0,Limburg,3500,176446,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,6.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,2940.766666666667
49,Antwerp,,,Antwerp,2000,136800,,BUSINESS,,34.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4023.529411764706
50,Brugge,2024.0,3.0,West Flanders,8000,289000,1.0,APARTMENT,1.0,72.0,INSTALLED,0,0,8.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4013.8888888888887
51,Liège,,,Liège,4000,173500,1.0,FLAT_STUDIO,0.0,51.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3401.9607843137255
52,Nivelles,2023.0,3.0,Walloon Brabant,1300,595000,1.0,APARTMENT,3.0,152.0,INSTALLED,0,0,30.0,1,0,0,1,,0,,9.0,,GAS,1,0,,,Wallonia,3914.4736842105262
53,Hasselt,2023.0,2.0,Limburg,3500,181488,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,6.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,3024.8
54,Antwerp,,,Antwerp,2000,142800,,BUSINESS,,35.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4080.0
55,Brugge,2024.0,3.0,West Flanders,8000,299000,1.0,APARTMENT,1.0,72.0,INSTALLED,0,0,8.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4152.777777777777
56,Liège,,,Liège,4000,180000,1.0,FLAT_STUDIO,0.0,51.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3529.4117647058824
57,Nivelles,2023.0,4.0,Walloon Brabant,1300,945000,1.0,PENTHOUSE,3.0,243.0,,0,0,83.0,1,0,0,1,,0,,9.0,,,1,0,50.7111059,4.5911782,Wallonia,3888.8888888888887
58,Hasselt,2023.0,2.0,Limburg,3500,184620,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,6.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,3077.0
59,Antwerp,,,Antwerp,2000,144800,,BUSINESS,,36.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4022.222222222222
60,Brugge,2024.0,3.0,West Flanders,8000,300000,1.0,GROUND_FLOOR,2.0,89.0,INSTALLED,0,0,11.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,3370.7865168539324
61,Liège,,,Liège,4000,183000,1.0,FLAT_STUDIO,0.0,51.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3588.235294117647
62,Nivelles,2022.0,,Walloon Brabant,1300,345455,1.0,APARTMENT,2.0,98.0,NOT_INSTALLED,0,0,15.0,1,0,0,1,,0,5.0,7.0,85.0,GAS,1,0,50.7237045,4.6092538,Wallonia,3525.0510204081634
63,Bastogne,2024.0,3.0,Luxembourg,6600,235000,1.0,APARTMENT,1.0,73.0,,0,0,5.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3219.178082191781
64,Hasselt,2023.0,2.0,Limburg,3500,184785,1.0,APARTMENT,1.0,55.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3359.7272727272725
65,Antwerp,,,Antwerp,2000,177200,,BUSINESS,,44.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4027.2727272727275
66,Liège,,,Liège,4000,189000,1.0,FLAT_STUDIO,0.0,51.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3705.8823529411766
67,Brugge,2024.0,3.0,West Flanders,8000,310000,1.0,APARTMENT,1.0,72.0,INSTALLED,0,0,8.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4305.555555555556
68,Antwerp,,,Antwerp,2000,199200,,BUSINESS,,49.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4065.3061224489797
69,Bastogne,2024.0,3.0,Luxembourg,6600,235000,1.0,APARTMENT,1.0,73.0,,0,0,5.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3219.178082191781
70,Hasselt,2023.0,2.0,Limburg,3500,185045,1.0,APARTMENT,1.0,56.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3304.375
71,Liège,,,Liège,4000,210000,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,6.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3500.0
72,Brugge,2024.0,3.0,West Flanders,8000,320000,1.0,GROUND_FLOOR,2.0,84.0,INSTALLED,0,0,23.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3809.5238095238096
73,Bastogne,2024.0,3.0,Luxembourg,6600,240000,1.0,APARTMENT,1.0,79.0,,0,0,15.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3037.974683544304
74,Hasselt,2023.0,2.0,Limburg,3500,185696,1.0,APARTMENT,1.0,56.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3316.0
75,Liège,,,Liège,4000,215000,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,6.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3583.3333333333335
76,Brugge,2024.0,3.0,West Flanders,8000,360000,1.0,GROUND_FLOOR,2.0,97.0,INSTALLED,0,0,20.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3711.340206185567
77,Nivelles,,,Walloon Brabant,1300,212500,,OFFICES,,77.0,,0,0,0.0,0,0,0,1,0.0,0,5.0,,,,0,0,,,Wallonia,2759.7402597402597
78,Bastogne,2024.0,3.0,Luxembourg,6600,245000,1.0,APARTMENT,1.0,79.0,,0,0,5.0,1,0,0,0,,0,,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3101.26582278481
79,Hasselt,2023.0,2.0,Limburg,3500,190135,1.0,APARTMENT,1.0,52.0,INSTALLED,0,0,6.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,3656.4423076923076
80,Liège,,,Liège,4000,217500,1.0,APARTMENT,1.0,62.0,INSTALLED,0,0,6.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3508.064516129032
81,Brugge,2024.0,3.0,West Flanders,8000,365000,1.0,APARTMENT,2.0,96.0,INSTALLED,0,0,15.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3802.0833333333335
82,Antwerp,2025.0,,Antwerp,2000,240000,1.0,APARTMENT,1.0,41.0,,0,0,0.0,0,0,0,1,,0,5.0,,,,0,0,51.2334061,4.4084692,Flanders,5853.658536585366
83,Nivelles,,,Walloon Brabant,1300,225000,,OFFICES,,88.0,,0,0,0.0,0,0,0,1,0.0,0,5.0,,,,0,0,,,Wallonia,2556.818181818182
84,Bastogne,2024.0,3.0,Luxembourg,6600,245000,1.0,APARTMENT,1.0,79.0,,0,0,5.0,1,0,0,0,,0,,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3101.26582278481
85,Hasselt,2023.0,2.0,Limburg,3500,194829,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,3.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3247.15
86,Brugge,2024.0,3.0,West Flanders,8000,375000,1.0,APARTMENT,2.0,97.0,INSTALLED,0,0,15.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3865.979381443299
87,Antwerp,2025.0,,Antwerp,2000,350000,1.0,APARTMENT,1.0,64.0,,0,0,5.0,1,0,0,1,,0,5.0,,,,0,0,51.2334061,4.4084692,Flanders,5468.75
88,Nivelles,,,Walloon Brabant,1300,235000,,OFFICES,,93.0,,0,0,0.0,0,0,0,1,0.0,0,5.0,,,,0,0,,,Wallonia,2526.8817204301076
89,Bastogne,2024.0,3.0,Luxembourg,6600,265000,1.0,APARTMENT,2.0,95.0,,0,0,8.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2789.4736842105262
90,Antwerp,2025.0,,Antwerp,2000,440000,1.0,APARTMENT,2.0,105.0,,0,0,13.0,1,0,0,1,,0,5.0,,,,0,0,51.2334061,4.4084692,Flanders,4190.476190476191
91,Hasselt,2023.0,2.0,Limburg,3500,197671,1.0,PENTHOUSE,1.0,52.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3801.3653846153848
